Sample;Position;Year;Trap_name
S3_2017;S3;2017;S3_2017
S3_2018;S3;2018;S3_2018
HG4_2018_1;HG4;2018;HG4_2018
N3_2018_1;N3;2018;N3_2018
N4_2018_1;N4;2018;N4_2018
N5_2018_1;N5;2018;N5_2018
HG4_2017;HG4;2017;HG4_2017
N3_2017;N3;2017;N3_2017
N4_2017;N4;2017;N4_2017
N5_2017;N5;2017;N5_2017
HG4_2018;HG4;2018;HG4_2018
N3_2018;N3;2018;N3_2018
N4_2018;N4;2018;N4_2018
N5_2018;N5;2018;N5_2018
HG2_2006;HG2;2006;HG2_2006
HG3_2006;HG3;2006;HG3_2006
S3_2006;S3;2006;S3_2006
HG5_2006;HG5;2006;HG5_2006
N1_2006;N1;2006;N1_2006
N2_2006;N2;2006;N2_2006
N3_2006;N3;2006;N3_2006
HG7_2006;HG7;2006;HG7_2006
HG6_2009;HG6;2009;HG6_2009
HG3_2009;HG3;2009;HG3_2009
HG2_2009;HG2;2009;HG2_2009
HG1_2009;HG1;2009;HG1_2009
HG5_2009;HG5;2009;HG5_2009
N3_2009;N3;2009;N3_2009
N1_2009;N1;2009;N1_2009
HG4_2009;HG4;2009;HG4_2009
S3_2009;S3;2009;S3_2009
S3_2010;S3;2010;S3_2010
HG2_2010;HG2;2010;HG2_2010
HG3_2010;HG3;2010;HG3_2010
HG4_2010;HG4;2010;HG4_2010
HG5_2010;HG5;2010;HG5_2010
HG6_2010;HG6;2010;HG6_2010
N4_2010;N4;2010;N4_2010
N3_2010;N3;2010;N3_2010
N5_2010;N5;2010;N5_2010
N1_2011;N1;2011;N1_2011
N2_2011;N2;2011;N2_2011
N3_2011;N3;2011;N3_2011
S3_2011;S3;2011;S3_2011
HG3_2003;HG3;2003;HG3_2003
S3_2003;S3;2003;S3_2003
N1_2003;N1;2003;N1_2003
N2_2003;N2;2003;N2_2003
HG3_2004;HG3;2004;HG3_2004
HG2_2004;HG2;2004;HG2_2004
HG1_2004;HG1;2004;HG1_2004
S3_2004;S3;2004;S3_2004
HG5_2004;HG5;2004;HG5_2004
HG4_2004;HG4;2004;HG4_2004
HG6_2004;HG6;2004;HG6_2004
HG9_2004;HG9;2004;HG9_2004
N1_2004;N1;2004;N1_2004
N2_2004;N2;2004;N2_2004
N3_2004;N3;2004;N3_2004
HG3_2005;HG3;2005;HG3_2005
HG2_2005;HG2;2005;HG2_2005
HG3_2007;HG3;2007;HG3_2007
HG2_2007;HG2;2007;HG2_2007
S3_2007;S3;2007;S3_2007
HG5_2007;HG5;2007;HG5_2007
HG6_2007;HG6;2007;HG6_2007
N1_2007;N1;2007;N1_2007
HG7_2007;HG7;2007;HG7_2007
S3_2008;S3;2008;S3_2008
HG3_2008;HG3;2008;HG3_2008
HG2_2008;HG2;2008;HG2_2008
HG5_2008;HG5;2008;HG5_2008
HG6_2008;HG6;2008;HG6_2008
N4_2008;N4;2008;N4_2008
N2_2008;N2;2008;N2_2008
N1_2008;N1;2008;N1_2008
HG4_2008;HG4;2008;HG4_2008
HG3_2011;HG3;2011;HG3_2011
HG6_2011;HG6;2011;HG6_2011
N4_2011;N4;2011;N4_2011
N5_2011;N5;2011;N5_2011
HG3_2012;HG3;2012;HG3_2012
HG2_2012;HG2;2012;HG2_2012
HG2_2013;HG2;2013;HG2_2013
N3_2013;N3;2013;N3_2013
N4_2013;N4;2013;N4_2013
S3_2013;S3;2013;S3_2013
HG4_2013;HG4;2013;HG4_2013
HG4_2012;HG4;2012;HG4_2012
S3_2012;S3;2012;S3_2012
HG5_2012;HG5;2012;HG5_2012
HG6_2012;HG6;2012;HG6_2012
HG7_2012;HG7;2012;HG7_2012
N4_2012;N4;2012;N4_2012
N5_2012;N5;2012;N5_2012
N3_2012;N3;2012;N3_2012
N2_2012;N2;2012;N2_2012
N1_2012;N1;2012;N1_2012
HG4_2014;HG4;2014;HG4_2014
HG2_2014;HG2;2014;HG2_2014
N4_2009;N4;2009;N4_2009
N2_2009;N2;2009;N2_2009
N1_2010;N1;2010;N1_2010
HG2_2011;HG2;2011;HG2_2011
HG7_2011;HG7;2011;HG7_2011
HG5_2011;HG5;2011;HG5_2011
HG9_2003;HG9;2003;HG9_2003
HG7_2004;HG7;2004;HG7_2004
HG6_2005;HG6;2005;HG6_2005
HG5_2005;HG5;2005;HG5_2005
HG7_2005;HG7;2005;HG7_2005
N4_2007;N4;2007;N4_2007
HG7_2008;HG7;2008;HG7_2008
EG1_2014;EG1;2014;EG1_2014
EG2_2014;EG2;2014;EG2_2014
EG3_2014;EG3;2014;EG3_2014
EG4_2014;EG4;2014;EG4_2014
HG5_2014;HG5;2014;HG5_2014
HG6_2014;HG6;2014;HG6_2014
N4_2014;N4;2014;N4_2014
S3_2015;S3;2015;S3_2015
HG4_2015;HG4;2015;HG4_2015
HG5_2015;HG5;2015;HG5_2015
HG6_2015;HG6;2015;HG6_2015
HG8_2015;HG8;2015;HG8_2015
HG9_2015;HG9;2015;HG9_2015
EG4_2015;EG4;2015;EG4_2015
N5_2015;N5;2015;N5_2015
HG3_2015;HG3;2015;HG3_2015
HG2_2015;HG2;2015;HG2_2015
HG1_2015;HG1;2015;HG1_2015
S3_2016;S3;2016;S3_2016
HG4_2016;HG4;2016;HG4_2016
HG5_2016;HG5;2016;HG5_2016
HG6_2016;HG6;2016;HG6_2016
HG7_2016;HG7;2016;HG7_2016
EG4_2016;EG4;2016;EG4_2016
EG3_2016;EG3;2016;EG3_2016
EG2_2016;EG2;2016;EG2_2016
EG1_2016;EG1;2016;EG1_2016
N4_2016;N4;2016;N4_2016
N5_2016;N5;2016;N5_2016
N3_2016;N3;2016;N3_2016
HG2_2016;HG2;2016;HG2_2016
HG3_2016;HG3;2016;HG3_2016
