Sample;Year;Year_Season;Copepod;Amphipod;Ostracod;Pteropod;Cheatognath;Time_sp;ice_concentration;temp_air;v_winds;u_winds;v_ice;u_ice;pressure_atm;SST;SSS;u_currents;v_currents;ice_distance;chla_sat;AMO;A0;NAO;Seasonal_var;Tot_flux;CaCO3;Psi;POC;PON;15N;13C;Season
2000-08-31;2000;2000;57,46666667;2,133333333;15,33333333;0;0;0;0;-0,39375;0,31875;1,0125;0;0;991,325;3,753888889;34,94438889;3,3225;-2,819537037;76,04837766;0,95567137;0,101;0,395;-1,1;14,65722523;198,353;10,069;37,3016;26,07;3,42;4,904;-25,2615;Summer
2000-09-15;2000;2000;73,86666667;1,733333333;23,33333333;218;0;15;0;-2,446875;0,678125;0,33375;0;0;993,08125;4,235796875;34,84736198;5,844739583;6,207604167;60,73443042;NaN;0,0305;0,356;0,135;12,159346;112,325979;34,80452156;10,57;12,05;1,52;3,087;NaN;Summer
2000-09-30;2000;2000;67,06666667;2,4;30;140;0;30;0,106666667;-3,59375;-2,519375;-0,3375;109,5125;-33,175;990;3,304225309;34,81628704;-2,980925926;-2,844722222;66,31047843;NaN;-0,04;0,317;1,37;9,584597048;72,63053207;26,29760463;3,840666667;8,31;1,23;5,249;-24,679;Faller
2000-10-15;2000;2000;154;2,133333333;24;150,4;0;45;0;-2,37625;-1,408125;0,496875;0;0;990,725;3,657605903;34,75589323;-4,39109375;-4,4884375;88,27156554;NaN;-0,0465;-0,632;0,565;7,103695505;33,01863617;20,81122292;0,5642;1,37;0,23;5,674;-24,122;Faller
2000-10-30;2000;2000;19,86666667;3,066666667;7,066666667;84,93333333;0;60;0;-7,855;-0,460625;-4,24375;0;0;999,5125;3,545984568;34,72395833;2,539537037;-12,98361111;78,93240226;NaN;-0,053;-1,581;-0,24;4,881135987;9,679998948;3,081626078;0,084466667;1,59;0,33;5,473;NaN;Faller
2000-11-14;2000;2000;40,8;1,733333333;9,866666667;51,46666667;0;75;0,2125;-5,115;-1,811875;-0,335;0;0;997,875;3,467061479;34,6998151;16,57707292;-19,17153125;53,32264345;NaN;-0,09;-1,9675;-0,825;3,06428391;3,921882229;2,058320715;0,021;0,38;0,07;NaN;NaN;Faller
2000-11-29;2000;2000;16,8;2,933333333;4,533333333;137,0666667;0;90;1,1;-13,94285714;3,457857143;-4,75;-3095,735714;-1064,685714;995,3357143;2,808595679;34,86536111;6,078518519;-7,54962963;38,49689515;NaN;-0,127;-2,354;-1,41;1,773604512;4,635466877;1,300221451;0,049933333;0,81;0,18;NaN;NaN;Faller
2000-12-14;2000;2001;18,4516129;1,290322581;7,935483871;184,0645161;0;105;0;-11,331875;-0,2265625;-3,1071875;-164,44375;-9,553125;994,528125;2,386048611;34,91617448;-0,876197917;-1,915755208;53,77714065;NaN;-0,1275;-1,6565;-0,695;1;3,912750178;1,194840745;0,022866667;0,76;0,12;7,629;-22,486;Winter
2001-01-14;2001;2001;20;1,419354839;9,032258065;89,80645161;0;136;4,25625;-8,8815625;0,698125;1,8278125;-3275,490625;-1462,090625;990,809375;2,627119318;34,96411589;-3,318376736;-4,087552083;36,5485261;NaN;-0,0775;-0,7905;0,045;2,304106107;15,59395838;1,433077338;0,451733333;2,05;0,35;7,858;-23,272;Winter
2001-02-14;2001;2001;20,42857143;0,571428571;16,07142857;18,07142857;6,071428571;167;1,04137931;-12,36310345;-2,355862069;-4,013793103;-1628,734483;-678,1586207;996,1758621;2,400673153;34,95424569;-1,006449843;-6,55096395;36,73981834;NaN;-0,0065;-1,1545;-0,305;5,729222914;65,88769941;5,0981831;1,7276;3,81;0,57;7,077;-23,58;Winter
