Traps;Date_start;Date_end;Year;Season;Year - Season;Old_name;Old_old_name
Fevi1_oben_1;8/31/2000;9/15/2000;2000;Summer;2000 - Summer;Su2000;Wolf1_S70
Fevi10_oben_11;4/29/2006;5/14/2006;2006;Spring;2006 - Spring;Sp2006;Wolf10_S79
Fevi10_oben_14;6/13/2006;6/28/2006;2006;Spring;2006 - Spring;Sp2006b;Wolf11_S80
Fevi13_oben_4;9/15/2006;9/22/2006;2006;Summer;2006 - Summer;Su2006;Wolf12_S81
Fevi13_oben_16;4/15/2007;4/30/2007;2007;Spring;2007 - Spring;Sp2007;Wolf13_S82
Fevi13_oben_17;4/30/2007;05/10/2007;2007;Spring;2007 - Spring;Sp2007b;Wolf14_S82
Fevi16_oben_2;8/15/2007;8/31/2007;2007;Summer;2007 - Summer;Su2007;Wolf15_S84
Fevi16_oben_13;3/31/2008;4/15/2008;2008;Spring;2008 - Spring;Sp2008;Wolf16_S85
Fevi18_oben_4;8/20/2008;8/31/2008;2008;Summer;2008 - Spring;Su2008;Wolf17_S86
Fevi18_oben_13;3/31/2009;4/15/2009;2009;Spring;2009 - Spring;Sp2009;Wolf18_S87
Fevi18_oben_14;4/15/2009;4/30/2009;2009;Spring;2009 - Spring;Sp2009b;Wolf19_S88
Fevi1_oben_11;3/14/2001;3/29/2001;2001;Spring;2001 - Spring;Sp2001;Wolf2_S71
Fevi20_oben_2;7/31/2009;08/10/2009;2009;Summer;2009 - Summer;Su2009;Wolf20_S89
Fevi20_oben_3;08/10/2009;8/20/2009;2009;Summer;2009 - Summer;Su2009b;Wolf21_S90
Fevi20_oben_19;6/15/2010;6/30/2010;2010;Spring;2010 - Spring;Sp2010;Wolf22_S91
Fevi22_oben_16;4/30/2011;05/10/2011;2011;Spring;2011 - Spring;Sp2011;Wolf23_S92
Fevi24_oben_3;8/31/2011;09/10/2011;2011;Summer;2011 - Summer;Su2011;Wolf24_S93
Fevi24_oben_14;4/30/2012;05/10/2012;2012;Spring;2012 - Spring;Sp2012;Wolf25_S94
Fevi2_oben_1;8/14/2001;8/31/2001;2001;Summer;2001 - Summer;Su2001;Wolf3_S72
Fevi3_oben_3;9/13/2002;9/28/2002;2002;Summer;2002 - Summer;Su2002;Wolf4_S73
Fevi3_oben_18;4/26/2003;05/11/2003;2003;Spring;2003 - Spring;Sp2003;Wolf5_S74
Fevi7_oben_3;7/29/2004;08/05/2004;2004;Summer;2004 - Summer;Su2004;Wolf6_S75
Fevi7_oben_4;08/05/2004;8/15/2004;2004;Summer;2004 - Summer;Su2004b;Wolf7_S76
Fevi7_oben_13;2/28/2005;3/31/2005;2005;Winter;2005 - Winter;Sp2005;Wolf8_S77
Fevi10_oben_2;09/05/2005;9/25/2005;2005;Summer;2005 - Summer;Su2005;Wolf9_S78
Fevi_1_oben_10;2/14/2001;3/14/2001;2001;Winter;2001 - Winter;Fevi_1_oben_10;Fevi_1_oben_10
Fevi_1_oben_11;3/14/2001;3/29/2001;2001;Spring;2001 - Spring;Fevi_1_oben_11;Fevi_1_oben_11
Fevi_1_oben_12;3/29/2001;4/14/2001;2001;Spring;2001 - Spring;Fevi_1_oben_12;Fevi_1_oben_12
Fevi_1_oben_13;4/14/2001;4/29/2001;2001;Spring;2001 - Spring;Fevi_1_oben_13;Fevi_1_oben_13
Fevi_1_oben_14;4/29/2001;5/14/2001;2001;Spring;2001 - Spring;Fevi_1_oben_14;Fevi_1_oben_14
Fevi_1_oben_15;5/14/2001;5/29/2001;2001;Spring;2001 - Spring;Fevi_1_oben_15;Fevi_1_oben_15
Fevi_1_oben_16;5/29/2001;6/14/2001;2001;Spring;2001 - Spring;Fevi_1_oben_16;Fevi_1_oben_16
